Date,All items,Energy,All items less food and energy,Purchasing power of the consumer dollar,Apparel,Men and boy apparel,Commodities,Energy commodities,Education,Communication,Information and information processing,Food and beverages,Food at home,"Meats, poultry, fish, and eggs",Meats,Fruits and vegetables,Alcoholic beverages,Personal care,Housing,Shelter,Fuels and utilities,Household energy,Household furnishings and operations,Medical care,Medical care commodities,Rent of shelter,Transportation,Men apparel,"Men suits, sport coats, and outerwear",Men pants and shorts,Boy apparel,Women apparel,Women outerwear,Women dresses,Women suits and separates,"Women underwear, nightwear, swimwear and accessories",Girl apparel,Men footwear,Women footwear,Jewelry and watches,Watches,Jewelry,Telephone services,Wireless telephone services,Computer software and accessories,Internet services and electronic information providers,Pork,Ham,Pork chops,Poultry
2022-09-01,296.808,297.343,298.442,33.7,130.143,123.185,222.678,338.768,286.151,74.895,70.619,310.678,296.771,319.486,322.857,348.173,275.810,260.886,306.521,359.704,311.690,267.114,145.912,556.323,390.677,375.583,266.109,126.288,106.184,126.066,110.107,110.534,105.496,111.759,76.093,108.798,107.313,150.969,133.033,196.489,151.537,196.293,94.385,47.653,26.218,80.123,273.648,255.643,237.554,308.372
2022-08-01,296.171,305.372,297.178,33.8,127.328,122.657,223.891,358.038,283.882,74.977,70.703,308.550,295.007,318.867,321.534,343.221,275.627,259.954,304.506,357.264,309.739,265.453,145.110,553.429,391.032,372.989,270.334,125.582,106.292,128.452,110.123,106.560,100.520,103.555,72.956,107.444,99.317,149.771,132.754,190.683,153.666,188.633,94.356,47.693,25.902,80.191,270.578,250.704,240.387,306.399
2022-07-01,296.276,325.407,295.646,33.8,125.188,120.569,226.110,405.676,280.974,75.061,70.782,306.278,292.972,318.141,322.115,341.839,274.344,258.315,302.327,354.935,305.797,261.643,144.291,549.562,390.077,370.525,278.958,123.329,105.079,126.620,108.588,103.974,98.023,101.343,71.242,104.627,95.190,149.451,131.614,191.420,153.847,189.479,94.340,47.716,25.433,80.255,270.829,244.618,239.545,303.876
2022-06-01,296.311,340.917,294.680,33.7,126.619,122.430,227.423,439.256,280.562,75.311,71.025,302.967,288.884,316.110,320.989,340.594,273.537,257.287,300.927,352.967,306.293,262.500,143.586,546.717,387.787,368.451,284.644,125.047,106.793,126.475,110.811,105.226,101.274,104.854,72.095,104.637,98.933,151.607,131.277,188.556,152.073,186.494,94.374,47.724,25.921,80.909,268.376,246.139,234.207,300.207
2022-05-01,292.296,316.761,292.506,34.2,126.970,123.127,223.076,402.040,279.356,75.341,71.053,300.081,285.953,314.929,321.060,341.594,272.293,256.147,297.868,350.580,295.153,250.594,142.736,543.488,386.273,365.969,274.282,126.066,106.352,128.697,110.537,106.687,99.665,107.315,72.475,107.807,99.311,149.057,130.748,185.496,151.856,182.834,94.454,47.786,25.346,81.013,268.222,238.086,237.643,295.666
2022-04-01,289.109,298.469,290.846,34.6,127.126,123.096,219.647,372.220,278.647,75.576,71.284,296.915,282.161,310.399,319.884,339.385,271.376,255.213,295.259,348.389,286.339,241.059,142.110,541.515,385.307,363.652,266.892,125.928,104.380,129.199,110.823,107.458,98.683,109.685,73.644,107.067,101.844,148.427,130.835,183.522,152.890,180.142,94.482,47.793,25.026,80.598,266.009,233.085,241.837,286.935
2022-03-01,287.504,298.246,289.305,34.8,128.919,124.868,219.057,375.027,278.388,75.866,71.568,294.064,278.612,305.116,317.642,337.503,270.352,254.111,293.577,346.618,283.376,238.029,141.358,539.739,385.084,361.783,264.525,127.740,100.761,132.048,112.418,109.488,100.774,111.238,75.798,107.575,101.935,150.070,131.151,187.593,151.237,185.559,94.339,47.778,25.375,80.472,263.619,243.372,237.240,278.705
2022-02-01,283.716,267.771,288.059,35.2,127.868,124.996,213.960,313.522,278.380,76.267,71.959,291.244,274.568,301.240,313.597,333.675,269.128,252.862,291.504,344.607,279.032,233.300,140.306,536.932,384.304,359.655,253.150,127.924,101.759,131.284,112.378,107.893,103.003,106.533,73.673,108.355,100.724,149.399,130.164,182.549,153.529,178.778,94.934,48.117,25.623,80.499,260.080,237.715,232.694,274.557
2022-01-01,281.148,260.653,285.996,35.6,124.079,120.948,210.918,297.454,278.087,76.292,71.991,288.264,270.711,298.441,311.191,327.451,266.749,249.954,289.889,342.604,278.758,233.373,139.162,535.048,382.984,357.543,248.424,122.869,98.443,125.670,111.432,102.766,100.717,100.998,69.732,103.677,96.780,147.901,127.319,190.928,152.118,189.367,94.778,48.073,25.746,80.549,258.369,231.335,232.720,269.905
2021-12-01,278.802,256.207,283.908,35.9,121.068,117.390,208.602,296.391,277.904,76.298,71.986,285.556,267.555,297.604,312.139,321.931,265.410,247.561,287.511,341.241,270.831,225.435,136.787,530.026,379.611,356.091,246.499,119.059,94.305,120.898,108.730,100.767,96.300,102.625,68.764,100.209,94.434,145.560,126.630,177.170,150.074,173.210,94.735,48.139,25.680,80.481,258.211,223.042,234.362,267.769
