Date,PPI Final Demand (Seasonally Adjusted) ,PPI Final Demand (Unadjusted) ,PPI Final Demand less foods and energy (Unadjusted) ,"PPI Final Demand less foods, energy, and trade services (Unadjusted) ",PPI Finished Goods 1982=100 (Unadjusted) ,Total manufacturing industries,Electric power distribution,Fruit and vegetable canning,Petroleum lubricating oil & grease mfg,Industrial gas manufacturing,Chemical mfg,Carbon black,"All other basic organic chemical mfg, primary products",Plastics material and resins manufacturing,"Synthetic rubber mfg, primary products",Pharmaceutical preparation mfg,Paint & coating mfg,Iron & steel mills,"Aluminum sheet, plate & foil mfg",Sheet metal work mfg,Hardware mfg,Other fabricated wire product mfg,Industrial valve mfg,Ball and roller bearing mfg,Construction machinery mfg,Oil & gas field machinery & equipment mfg,Turbine & turbine generator set unit mfg,"Capacitor, resistor, coil, transformer, and other mfg",Electric power and specialty transformer mfg,Switchgear & switchboard apparatus mfg,Current-carrying wiring device mfg,"Automobile, light truck and utility vehicle mfg",Aircraft engine & engine parts mfg,Other aircraft parts & equipment mfg,New car dealers,Scheduled passenger air transportation,Line-haul railroads,Supermarkets and other grocery (exc convenience) stores,Truck transportation,"General freight trucking, long-distance, truckload",Other heavy machinery rental & leasing,Offices of physicians (exc mental health),General medical and surgical hospitals
2005-01-01,,,,,151.4,146.2,103.3,149.3,210.2,116.3,182.7,158.6,190.3,226.6,149.4,369.2,180.7,157.4,154.7,166.2,141.7,154.5,138.1,179.8,188.6,185.0,156.6,,155.0,158.2,148.9,139.8,163.4,150.3,116.0,209.1,131.9,127.4,106.0,120.1,102.5,124.9,145.3
2005-02-01,,,,,152.1,147.0,103.1,149.7,211.5,109.5,183.4,158.6,189.6,226.9,150.8,370.5,183.8,157.9,156.3,166.5,142.8,154.9,142.9,182.4,188.3,185.8,156.8,,155.7,158.1,149.1,137.4,163.2,150.3,116.6,208.4,132.0,130.8,106.1,120.9,104.5,125.1,146.1
2005-03-01,,,,,153.6,148.9,103.3,149.9,215.1,113.5,184.7,158.6,192.9,229.1,152.6,370.7,184.4,153.2,157.7,165.9,143.2,154.7,143.8,185.1,189.2,190.0,156.8,,158.2,159.9,150.2,136.8,163.2,150.8,117.2,215.9,133.7,130.2,106.9,121.7,105.9,125.5,146.1
2005-04-01,,,,,154.4,149.6,103.5,150.2,218.1,112.6,185.9,158.3,195.7,230.6,153.8,372.1,185.1,151.3,159.6,166.1,143.2,155.1,144.7,186.3,189.7,190.7,157.5,,158.9,161.3,149.8,136.5,163.5,150.7,117.4,214.5,135.0,128.2,107.6,122.5,106.1,125.5,146.1
2005-05-01,,,,,154.3,149.4,104.6,151.4,224.9,115.6,185.8,158.3,195.2,226.3,153.6,375.8,186.8,147.1,158.4,165.6,143.5,154.4,144.7,186.7,193.2,191.8,158.4,,158.9,160.2,149.7,135.8,163.6,151.3,116.3,213.2,138.7,128.7,108.1,123.3,106.6,125.5,146.2
2005-06-01,,,,,154.2,149.6,108.7,151.8,224.8,114.8,185.3,158.3,195.4,219.9,154.7,377.7,187.3,141.5,155.2,164.9,143.8,153.3,145.6,186.9,193.4,192.7,158.2,,160.7,162.7,149.8,132.6,163.5,151.3,115.6,219.8,139.2,132.5,108.7,123.3,107.2,125.7,146.3
2005-07-01,,,,,155.5,151.0,109.9,151.9,227.3,113.1,186.3,183.0,195.8,218.7,155.3,384.6,187.8,139.3,154.0,164.8,143.8,153.9,145.9,187.3,193.9,193.3,154.1,,161.1,159.5,150.3,132.8,163.3,151.5,115.5,223.3,139.3,132.2,109.1,123.3,107.0,125.8,146.6
2005-08-01,,,,,156.3,151.8,110.3,152.0,235.5,116.5,186.4,183.1,194.2,217.1,155.3,385.6,188.1,133.7,154.5,164.8,144.1,153.9,145.9,187.6,194.5,193.4,155.0,,161.2,160.0,150.1,131.7,163.4,153.3,115.2,219.4,140.8,131.3,109.4,123.6,108.9,125.7,146.8
2005-09-01,,,,,158.9,154.2,110.5,152.0,241.8,116.3,187.7,183.1,197.5,223.0,157.3,382.3,188.3,136.1,154.9,165.0,144.2,154.2,147.2,189.9,194.1,194.1,154.8,,162.6,159.9,152.9,131.9,163.6,153.2,115.2,214.9,142.5,132.8,110.7,125.2,108.6,125.8,147.5
2005-10-01,,,,,160.9,156.6,109.3,152.3,245.7,130.5,191.2,197.8,206.3,238.6,159.8,382.4,188.8,140.6,156.0,165.4,145.1,153.9,147.7,190.2,194.2,195.1,155.1,,163.5,161.8,153.0,137.8,163.8,152.8,117.6,219.7,145.7,136.7,112.1,126.7,108.8,125.9,150.0
2005-11-01,,,,,158.3,152.7,109.1,152.7,256.5,129.4,193.6,197.8,210.7,244.3,162.6,386.6,191.9,146.1,158.1,165.7,145.2,156.3,147.4,190.2,194.5,200.3,156.4,,166.6,162.3,153.3,134.8,163.8,152.9,116.1,227.7,148.4,138.5,111.9,127.3,109.2,125.9,150.3
2005-12-01,,,,,158.7,152.8,109.4,153.2,262.7,131.5,193.9,197.8,208.6,241.2,162.3,387.0,193.1,146.1,162.2,165.7,145.2,157.0,147.8,190.7,194.8,201.8,157.4,,168.1,160.9,153.6,132.9,163.9,153.0,117.4,219.1,148.4,136.2,111.2,126.4,109.1,125.9,150.3
2006-01-01,,,,,159.9,154.1,112.7,153.3,265.5,126.0,195.7,216.3,209.0,240.0,164.8,391.3,194.5,149.8,165.9,166.5,145.7,157.4,148.7,191.1,197.8,202.5,159.9,,170.0,163.1,155.2,133.7,167.7,153.9,118.2,225.9,147.2,136.0,111.3,125.6,108.9,126.1,151.5
2006-02-01,,,,,158.0,153.5,113.2,152.7,263.1,127.6,196.2,216.3,208.5,236.4,166.5,394.7,196.8,149.7,171.3,166.9,145.6,158.2,152.8,192.3,199.1,204.8,159.0,,170.5,165.0,158.2,133.7,168.0,154.0,119.4,229.4,146.3,133.5,111.2,125.6,109.0,126.2,151.7
2006-03-01,,,,,159.1,155.0,112.7,153.2,268.5,124.9,196.2,216.3,209.6,235.4,165.9,396.0,200.4,149.8,173.9,167.6,146.0,157.8,152.5,192.4,199.9,205.6,158.5,,172.4,165.5,159.2,133.4,168.8,153.7,123.2,232.1,148.3,139.2,111.7,125.7,109.3,126.4,151.9
2006-04-01,,,,,160.7,157.2,113.4,153.7,275.8,122.7,195.7,216.5,204.8,231.6,164.4,395.1,200.5,151.3,175.6,168.3,146.3,157.9,153.5,192.4,199.8,206.3,159.1,,174.3,165.8,160.7,132.3,170.3,153.8,123.2,233.8,148.6,135.4,112.3,126.1,109.8,126.3,152.3
2006-05-01,,,,,161.2,158.5,114.1,154.4,278.3,122.2,196.6,216.5,205.9,232.6,164.1,400.1,201.3,153.4,183.2,169.0,146.3,160.6,154.6,192.1,200.3,209.1,159.4,,175.1,165.6,163.1,132.0,169.9,153.6,123.4,228.3,150.5,134.9,113.5,127.6,109.5,126.5,152.5
2006-06-01,,,,,161.8,159.5,118.1,155.5,285.1,120.9,197.2,216.5,203.8,235.1,164.0,399.1,201.6,159.9,185.1,171.9,147.1,160.7,159.2,192.2,201.3,210.4,160.7,,185.9,166.7,165.8,130.6,169.8,153.6,123.4,236.7,153.1,134.1,113.8,128.0,112.1,126.9,152.7
2006-07-01,,,,,161.7,159.4,118.7,155.5,290.1,118.9,197.6,219.1,203.6,235.8,165.4,400.2,201.4,167.5,181.8,172.5,149.6,162.9,160.1,195.9,201.3,211.2,161.5,,188.6,166.2,166.0,123.7,169.7,153.6,122.8,238.5,154.9,135.9,114.0,128.1,114.8,127.1,153.5
