,Date,total_nonfarm_employment,manufacturing_employment,total_private_employment,civilian_labor_force,civilian_employment,civilian_unemployment,unemployment_rate,total_private_average_weekly_hours_of_all_employees,total_private_average_weekly_hours_of_prod._and_nonsup._employees,total_private_average_hourly_earnings_of_all_employees,total_private_average_hourly_earnings_of_prod._and_nonsup._employees
0,2005-01-01,132774,14257,111039,148029,140245,7784,5.3,,33.7,,15.9
1,2005-02-01,133032,14273,111288,148364,140385,7980,5.4,,33.8,,15.93
2,2005-03-01,133156,14269,111416,148391,140654,7737,5.2,,33.7,,15.97
3,2005-04-01,133518,14250,111764,148926,141254,7672,5.2,,33.8,,16.0
4,2005-05-01,133690,14256,111909,149261,141609,7651,5.1,,33.7,,16.04
5,2005-06-01,133942,14227,112179,149238,141714,7524,5.0,,33.7,,16.08
6,2005-07-01,134296,14226,112439,149432,142026,7406,5.0,,33.7,,16.15
7,2005-08-01,134498,14203,112635,149779,142434,7345,4.9,,33.7,,16.17
8,2005-09-01,134566,14175,112721,149954,142401,7553,5.0,,33.8,,16.19
9,2005-10-01,134655,14192,112826,150001,142548,7453,5.0,,33.8,,16.28
10,2005-11-01,134993,14187,113134,150065,142499,7566,5.0,,33.8,,16.3
11,2005-12-01,135149,14193,113270,150030,142752,7279,4.9,,33.8,,16.35
12,2006-01-01,135429,14210,113582,150214,143150,7064,4.7,,33.8,,16.42
13,2006-02-01,135737,14209,113859,150641,143457,7184,4.8,,33.8,,16.48
14,2006-03-01,136047,14214,114144,150813,143741,7072,4.7,34.2,33.8,20.04,16.54
15,2006-04-01,136205,14226,114286,150881,143761,7120,4.7,34.3,33.9,20.16,16.63
16,2006-05-01,136244,14203,114318,151069,144089,6980,4.6,34.3,33.8,20.13,16.65
17,2006-06-01,136325,14213,114403,151354,144353,7001,4.6,34.4,33.9,20.22,16.72
18,2006-07-01,136520,14188,114547,151377,144202,7175,4.7,34.4,33.9,20.3,16.77
19,2006-08-01,136694,14159,114683,151716,144625,7091,4.7,34.3,33.8,20.32,16.82
20,2006-09-01,136843,14125,114761,151662,144815,6847,4.5,34.4,33.8,20.41,16.87
